clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,160,158,25,87.1526,73
200,10000,10000,100%,354,262,76,158.4904,61
300,15000,15000,100%,526,384,1,236.5644,58
400,20000,20000,100%,706,530,2,322.0451,46
500,25000,25000,100%,896,678,182,417.9498,53
600,30000,30000,100%,1065,800,4,492.40336666666667,46
700,35000,35000,100%,1249,930,185,571.5726571428571,52
800,40000,40000,100%,1432,1103,280,655.106875,57
900,45000,45000,100%,1627,1216,327,743.042,48
1000,50000,50000,100%,1809,1385,352,841.95458,125
1100,55000,55000,100%,1997,1524,11,920.4319818181818,71
1200,60000,60000,100%,2177,1659,6,1014.4651666666666,55
1300,65000,65000,100%,2346,1780,7,1076.3402923076924,47
1400,70000,70000,100%,2612,1998,10,1219.8777142857143,48
1500,75000,75000,100%,2737,2097,536,1270.6915333333334,68
1600,80000,80000,100%,2914,2225,8,1347.7234875,57
1700,85000,85000,100%,3097,2390,10,1430.782705882353,51
1800,90000,90000,100%,3279,2506,9,1513.056811111111,116
1900,95000,95000,100%,3467,2633,662,1582.8664842105263,67
2000,100000,100000,100%,3688,2794,14,1690.44905,50
2100,105000,105000,100%,3839,2926,16,1770.4566857142856,142
2200,110000,110000,100%,4024,3078,19,1854.505709090909,50
2300,115000,115000,100%,4363,3346,71,1969.6217565217391,55
2400,120000,120000,100%,4458,3395,893,2019.4685583333332,52
2500,125000,125000,100%,4594,3510,22,2101.202464,70
2600,130000,130000,100%,4846,3714,22,2202.705753846154,189
2700,135000,135000,100%,4986,3759,28,2271.464651851852,54
2800,140000,140000,100%,5294,4057,28,2480.10235,55
2900,145000,145000,100%,5381,4113,1049,2471.009351724138,156
3000,150000,150000,100%,5741,4400,1105,2690.0983466666667,125
3100,155000,155000,100%,5776,4390,1104,2655.791458064516,142
3200,160000,160000,100%,5933,4545,36,2714.90461875,67
3300,165000,165000,100%,6210,4725,22,2775.616963636364,152
3400,170000,170000,100%,6297,4808,31,2880.705229411765,112
3500,175000,175000,100%,6695,5191,1285,3155.719697142857,127
