clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,163,160,19,89.111,74
200,10000,10000,100%,260,229,27,109.865,51
300,15000,15000,100%,406,392,2,169.68,64
400,20000,20000,100%,545,510,2,231.5931,43
500,25000,25000,100%,691,659,6,294.9872,58
600,30000,30000,100%,834,821,9,357.5502666666667,48
700,35000,35000,100%,976,956,4,419.17071428571427,47
800,40000,40000,100%,1111,1056,4,469.048,43
900,45000,45000,100%,1247,1181,20,536.5182666666667,37
1000,50000,50000,100%,1387,1376,30,596.5445,43
1100,55000,55000,100%,1535,1530,7,651.0674181818182,57
1200,60000,60000,100%,1683,1651,19,726.4809166666666,37
1300,65000,65000,100%,1830,1803,14,785.7185692307693,46
1400,70000,70000,100%,1961,1900,63,830.7522428571428,37
1500,75000,75000,100%,2137,2095,8,914.6703066666666,43
1600,80000,80000,100%,2259,2235,9,959.26275,41
1700,85000,85000,100%,2407,2391,9,1038.6453294117648,49
1800,90000,90000,100%,2532,2476,6,1069.9806555555556,40
1900,95000,95000,100%,2707,2686,13,1132.8497894736843,51
2000,100000,100000,100%,2855,2832,23,1203.6521,38
2100,105000,105000,100%,3004,2954,14,1258.9740761904761,56
2200,110000,110000,100%,3169,3120,19,1350.9637272727273,38
2300,115000,115000,100%,3278,3267,19,1380.3610956521738,39
2400,120000,120000,100%,3404,3366,17,1452.2562,37
2500,125000,125000,100%,3632,3584,35,1527.720872,36
2600,130000,130000,100%,3795,3724,12,1592.7201307692308,40
2700,135000,135000,100%,3903,3850,14,1628.5078888888888,51
2800,140000,140000,100%,4069,4025,14,1715.4493571428573,39
2900,145000,145000,100%,4236,4185,54,1784.6460896551723,47
3000,150000,150000,100%,4312,4280,17,1826.9435066666667,42
3100,155000,155000,100%,4528,4488,40,1888.964470967742,38
3200,160000,160000,100%,4687,4655,36,1965.91053125,35
3300,165000,165000,100%,4836,4802,45,2028.1757878787878,35
3400,170000,170000,100%,5025,4947,69,2107.697911764706,38
3500,175000,175000,100%,5111,5089,100,2168.06616,37
3600,180000,180000,100%,5261,5227,73,2250.5988944444443,38
3700,185000,185000,100%,5462,5394,75,2305.4940054054055,40
3800,190000,190000,100%,5579,5531,76,2358.971752631579,37
3900,195000,195000,100%,5700,5629,80,2445.5066,44
4000,200000,200000,100%,5891,5844,84,2506.563365,38
4100,205000,205000,100%,5999,5905,20,2504.2606,198
4200,210000,210000,100%,6235,6197,28,2627.877319047619,43
4300,215000,215000,100%,6403,6372,106,2707.4399720930232,36
4400,220000,220000,100%,6454,6419,24,2724.50745,53
4500,225000,225000,100%,6652,6595,21,2814.3516088888887,38
4600,230000,230000,100%,6723,6683,60,2873.116656521739,41
4700,235000,235000,100%,6970,6906,91,2962.1308723404254,34
4800,240000,240000,100%,7102,7081,31,2997.3422958333335,39
4900,245000,245000,100%,7268,7215,97,3071.621832653061,34
