clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,203,201,15,106.4376,68
200,10000,10000,100%,169,167,3,92.2851,58
300,15000,15000,100%,248,247,2,130.92306666666667,56
400,20000,20000,100%,285,284,2,152.6237,28
500,25000,25000,100%,348,347,6,184.80224,47
600,30000,30000,100%,418,416,5,223.6389,32
700,35000,35000,100%,494,492,4,272.20842857142856,35
800,40000,40000,100%,576,574,17,309.222325,30
900,45000,45000,100%,627,625,17,334.09166666666664,28
1000,50000,50000,100%,708,706,7,381.51506,35
1100,55000,55000,100%,754,752,24,412.1604,48
1200,60000,60000,100%,828,827,21,450.7210166666667,32
1300,65000,65000,100%,923,921,8,494.9966,30
1400,70000,70000,100%,971,968,14,523.3286571428572,25
1500,75000,75000,100%,1051,1049,10,566.3429733333334,24
1600,80000,80000,100%,1105,1102,19,589.2654625,30
1700,85000,85000,100%,1173,1170,13,632.5150588235294,26
1800,90000,90000,100%,1196,1190,12,622.4735333333333,25
1900,95000,95000,100%,1372,1370,15,719.5590947368421,35
2000,100000,100000,100%,1401,1397,11,752.90512,27
2100,105000,105000,100%,1519,1517,11,800.9203142857143,43
2200,110000,110000,100%,1522,1519,13,810.5011727272728,29
2300,115000,115000,100%,1585,1581,19,824.5520956521739,23
2400,120000,120000,100%,1725,1721,17,918.0622,25
2500,125000,125000,100%,1809,1804,26,934.051824,24
2600,130000,130000,100%,1825,1820,27,946.8609538461538,27
2700,135000,135000,100%,1935,1931,32,1042.108162962963,33
2800,140000,140000,100%,1923,1918,33,1013.6462857142857,30
2900,145000,145000,100%,2030,2025,39,1055.050524137931,29
3000,150000,150000,100%,2176,2171,34,1130.7013533333334,26
3100,155000,155000,100%,2214,2208,41,1145.3475032258063,27
3200,160000,160000,100%,2310,2305,37,1220.74570625,28
3300,165000,165000,100%,2286,2282,24,1185.2138484848485,66
3400,170000,170000,100%,2411,2405,48,1258.365782352941,44
3500,175000,175000,100%,2511,2504,40,1328.4896742857143,24
3600,180000,180000,100%,2529,2522,21,1291.2332277777778,25
3700,185000,185000,100%,2672,2665,50,1393.4464216216215,40
3800,190000,190000,100%,2757,2750,62,1463.1135684210526,21
3900,195000,195000,100%,2766,2759,23,1441.2137743589744,28
4000,200000,200000,100%,2980,2974,53,1545.270375,21
4100,205000,205000,100%,3006,2998,46,1581.9896048780488,43
4200,210000,210000,100%,2921,2909,25,1504.7660047619047,20
4300,215000,215000,100%,3030,3023,54,1575.269246511628,27
4400,220000,220000,100%,3267,3213,52,1707.2143318181818,23
4500,225000,225000,100%,3202,3192,19,1620.0616133333333,25
4600,230000,230000,100%,3307,3299,29,1718.3214,23
4700,235000,235000,100%,3515,3507,58,1860.1110978723405,22
4800,240000,240000,100%,3479,3406,20,1800.3837083333333,24
4900,245000,245000,100%,3622,3578,56,1849.4536285714287,27
5000,250000,250000,100%,3777,3766,25,1965.7352,23
5100,255000,255000,100%,3705,3696,24,1917.1290392156864,24
5200,260000,260000,100%,3854,3845,22,1969.4286923076922,24
5300,265000,265000,100%,3984,3978,36,2121.3510566037735,24
5400,270000,270000,100%,3953,3948,21,2036.0636444444444,25
5500,275000,275000,100%,4100,4097,25,2120.578050909091,21
5600,280000,280000,100%,4249,4242,44,2268.957467857143,26
5700,285000,285000,100%,4204,4174,44,2135.7965228070175,24
5800,290000,290000,100%,4319,4240,46,2239.5556655172413,19
5900,295000,295000,100%,4554,4463,85,2402.8031288135594,21
6000,300000,300000,100%,4411,4318,86,2313.27381,25
6100,305000,305000,100%,4685,4675,125,2484.9149934426227,25
6200,310000,310000,100%,4621,4610,134,2413.9529322580647,24
6300,315000,315000,100%,4767,4755,133,2540.779546031746,27
6400,320000,320000,100%,4815,4801,140,2512.159275,22
6500,325000,325000,100%,5069,5056,143,2700.9068953846154,25
6600,330000,330000,100%,5212,5194,146,2672.8974515151517,26
6700,335000,335000,100%,5165,5152,151,2716.803850746269,21
6800,340000,340000,100%,5338,5325,152,2820.732155882353,21
6900,345000,345000,100%,5280,5267,154,2760.4218231884056,28
7000,350000,350000,100%,5429,5415,161,2814.6105428571427,25
7100,355000,355000,100%,5339,5327,162,2788.0943830985916,20
7200,360000,360000,100%,5657,5644,167,3036.195113888889,22
7300,365000,365000,100%,5466,5451,165,2857.4428438356163,23
7400,370000,370000,100%,5651,5637,165,2960.5711189189187,25
7500,375000,375000,100%,5848,5834,174,3022.0609813333335,22
7600,380000,380000,100%,5718,5704,170,2986.74065,20
7700,385000,385000,100%,6004,5989,178,3207.6572597402596,20
7800,390000,390000,100%,5872,5856,172,3068.5447615384614,20
7900,395000,395000,100%,6242,6227,178,3274.85322278481,22
8000,400000,400000,100%,6103,6086,181,3175.89993,20
8100,405000,405000,100%,6397,6377,183,3389.636775308642,20
8200,410000,410000,100%,6487,6464,186,3304.945117073171,42
8300,415000,415000,100%,6355,6332,190,3314.3089156626506,31
8400,420000,420000,100%,6602,6579,192,3488.815942857143,19
8500,425000,425000,100%,6594,6576,192,3418.109145882353,26
8600,430000,430000,100%,6887,6862,199,3553.6215093023256,22
8700,435000,435000,100%,6949,6932,197,3596.949652873563,32
8800,440000,440000,100%,6889,6863,199,3581.0348272727274,24
8900,445000,445000,100%,6989,6973,202,3721.548038202247,20
9000,450000,450000,100%,7260,7235,204,3780.5215355555556,20
9100,455000,455000,100%,7039,7019,205,3669.086347252747,20
9200,460000,460000,100%,7429,7409,209,3928.3185282608697,20
9300,465000,465000,100%,7345,7319,213,3825.4197612903226,34
9400,470000,470000,100%,7528,7501,219,3876.3051042553193,23
9500,475000,475000,100%,7634,7605,219,3982.896187368421,20
