clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,187,186,15,97.5494,64
200,10000,10000,100%,171,170,2,94.5994,55
300,15000,15000,100%,254,253,3,134.6528,52
400,20000,20000,100%,280,279,3,151.00125,33
500,25000,25000,100%,325,324,5,170.82544,58
600,30000,30000,100%,402,401,7,217.4206,35
700,35000,35000,100%,487,485,15,263.94845714285714,32
800,40000,40000,100%,539,538,7,287.439125,29
900,45000,45000,100%,606,604,7,323.17604444444447,27
1000,50000,50000,100%,688,686,5,370.79912,31
1100,55000,55000,100%,722,720,8,397.1241636363636,43
1200,60000,60000,100%,781,779,19,426.70625,33
1300,65000,65000,100%,852,850,25,454.24196923076926,30
1400,70000,70000,100%,918,916,20,499.14202857142857,24
1500,75000,75000,100%,974,972,24,531.1541866666666,29
1600,80000,80000,100%,1059,1056,12,573.4113375,32
1700,85000,85000,100%,1138,1134,12,607.259494117647,25
1800,90000,90000,100%,1156,1151,15,603.2878111111111,24
1900,95000,95000,100%,1283,1279,22,684.0705473684211,44
2000,100000,100000,100%,1309,1306,15,706.77541,22
2100,105000,105000,100%,1345,1341,9,704.1468285714286,48
2200,110000,110000,100%,1475,1427,11,799.0351727272728,30
2300,115000,115000,100%,1493,1491,10,777.7791304347826,26
2400,120000,120000,100%,1657,1654,19,874.12615,25
2500,125000,125000,100%,1697,1693,19,902.394208,28
2600,130000,130000,100%,1684,1680,29,886.2872692307692,23
2700,135000,135000,100%,1762,1757,23,920.2001259259259,29
2800,140000,140000,100%,1935,1931,31,1041.0022142857142,26
2900,145000,145000,100%,1875,1870,31,977.3840344827586,29
3000,150000,150000,100%,1996,1991,38,1042.75676,22
3100,155000,155000,100%,2048,2043,38,1077.927677419355,28
3200,160000,160000,100%,2199,2194,41,1176.02045,20
3300,165000,165000,100%,2187,2181,39,1151.8373151515152,22
3400,170000,170000,100%,2278,2273,43,1196.8276,24
3500,175000,175000,100%,2498,2493,42,1279.4653714285714,25
3600,180000,180000,100%,2403,2397,16,1240.1676666666667,27
3700,185000,185000,100%,2570,2563,50,1345.6839837837838,27
3800,190000,190000,100%,2578,2571,47,1349.7813684210525,26
3900,195000,195000,100%,2717,2711,19,1439.0531128205128,24
4000,200000,200000,100%,2752,2744,53,1455.707295,30
4100,205000,205000,100%,2727,2721,50,1426.5819268292682,50
4200,210000,210000,100%,2840,2833,21,1464.6235047619048,25
4300,215000,215000,100%,3022,3015,55,1615.8323302325582,26
4400,220000,220000,100%,3097,3056,52,1578.114340909091,31
4500,225000,225000,100%,3132,3128,19,1582.991991111111,24
4600,230000,230000,100%,3255,3247,24,1710.7012,21
4700,235000,235000,100%,3343,3337,58,1731.6818212765957,22
4800,240000,240000,100%,3344,3232,55,1734.9620083333334,26
4900,245000,245000,100%,3518,3513,23,1856.170563265306,25
5000,250000,250000,100%,3535,3528,23,1799.538112,20
5100,255000,255000,100%,3584,3576,28,1853.4886823529412,20
5200,260000,260000,100%,3784,3770,21,1894.3788115384616,22
5300,265000,265000,100%,3743,3735,61,1946.8373773584906,25
5400,270000,270000,100%,3753,3615,21,1960.709011111111,25
5500,275000,275000,100%,4081,3939,31,2153.624890909091,56
5600,280000,280000,100%,3952,3814,28,2058.2078857142856,21
5700,285000,285000,100%,4129,3991,24,2174.781438596491,49
5800,290000,290000,100%,4118,3978,31,2150.6178172413793,21
5900,295000,295000,100%,4220,4082,31,2239.5250440677964,21
6000,300000,300000,100%,4224,4216,66,2201.4822033333335,25
6100,305000,305000,100%,4556,4551,76,2378.13228852459,23
6200,310000,310000,100%,4439,4432,90,2309.3823612903225,20
6300,315000,315000,100%,4624,4618,92,2482.192368253968,20
6400,320000,320000,100%,4690,4678,135,2464.057525,20
6500,325000,325000,100%,4925,4908,143,2635.4798338461537,22
6600,330000,330000,100%,4797,4786,141,2530.464812121212,20
6700,335000,335000,100%,4930,4918,144,2638.7953014925374,29
6800,340000,340000,100%,4972,4960,150,2607.0014294117645,23
6900,345000,345000,100%,4999,4986,151,2607.5774579710146,21
