clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,193,192,14,100.2772,64
200,10000,10000,100%,170,170,3,94.7891,53
300,15000,15000,100%,252,252,3,131.42126666666667,57
400,20000,20000,100%,280,280,3,150.20235,32
500,25000,25000,100%,334,332,5,178.81252,51
600,30000,30000,100%,412,411,6,222.40896666666666,30
700,35000,35000,100%,485,484,15,265.85488571428573,37
800,40000,40000,100%,579,578,4,307.6852,31
900,45000,45000,100%,623,622,4,332.0394,28
1000,50000,50000,100%,702,701,6,378.76668,32
1100,55000,55000,100%,750,748,11,402.2397090909091,46
1200,60000,60000,100%,813,810,9,436.6437,31
1300,65000,65000,100%,885,884,9,465.7918923076923,30
1400,70000,70000,100%,970,968,31,524.8265285714285,24
1500,75000,75000,100%,1005,1002,27,542.9463466666666,28
1600,80000,80000,100%,1091,1088,14,582.6801625,32
1700,85000,85000,100%,1163,1160,12,627.3874941176471,26
1800,90000,90000,100%,1212,1207,11,653.2874,28
1900,95000,95000,100%,1273,1270,16,660.4754736842106,39
2000,100000,100000,100%,1375,1373,12,736.49181,22
2100,105000,105000,100%,1434,1432,10,766.425,40
2200,110000,110000,100%,1499,1495,15,780.9178545454546,38
2300,115000,115000,100%,1521,1518,11,795.2906782608695,25
2400,120000,120000,100%,1655,1652,16,855.056125,26
2500,125000,125000,100%,1680,1676,20,876.385664,23
2600,130000,130000,100%,1770,1766,24,924.5469153846154,27
2700,135000,135000,100%,1798,1772,25,943.8365777777777,30
2800,140000,140000,100%,1927,1923,27,1036.8481357142857,31
2900,145000,145000,100%,1989,1985,36,1041.5895379310346,26
3000,150000,150000,100%,2058,2050,38,1065.4689733333332,29
3100,155000,155000,100%,2109,2104,39,1132.6264903225806,27
3200,160000,160000,100%,2201,2196,40,1155.4016875,23
3300,165000,165000,100%,2275,2270,43,1173.8094606060606,29
3400,170000,170000,100%,2373,2367,43,1266.9988588235294,20
3500,175000,175000,100%,2456,2450,19,1268.6369714285715,29
3600,180000,180000,100%,2544,2538,43,1340.5975277777777,25
3700,185000,185000,100%,2607,2599,47,1354.5714216216215,27
3800,190000,190000,100%,2573,2565,20,1319.8232842105263,25
3900,195000,195000,100%,2720,2713,46,1453.7500256410256,27
4000,200000,200000,100%,2884,2876,51,1502.717145,24
4100,205000,205000,100%,2780,2773,23,1433.8630439024391,38
4200,210000,210000,100%,3002,2996,48,1601.6221238095238,26
4300,215000,215000,100%,3283,3232,55,1681.1105953488373,26
4400,220000,220000,100%,3173,3168,19,1628.4540636363636,20
4500,225000,225000,100%,3161,3151,29,1661.1183777777778,25
4600,230000,230000,100%,3309,3297,52,1719.5628782608696,20
4700,235000,235000,100%,3369,3311,57,1744.1798680851064,20
4800,240000,240000,100%,3483,3478,25,1830.3747375,23
4900,245000,245000,100%,3520,3515,21,1787.9151265306123,21
5000,250000,250000,100%,3487,3480,30,1801.163628,20
5100,255000,255000,100%,3625,3615,54,1880.5701725490196,29
5200,260000,260000,100%,3861,3809,32,2012.9690115384615,21
5300,265000,265000,100%,3800,3744,22,1971.2586301886793,20
5400,270000,270000,100%,4031,3956,61,2044.8850666666667,20
5500,275000,275000,100%,4061,4010,62,2102.7176145454546,30
5600,280000,280000,100%,4067,4017,63,2125.383092857143,21
5700,285000,285000,100%,4221,4170,66,2235.311754385965,26
5800,290000,290000,100%,4299,4241,75,2243.872093103448,20
5900,295000,295000,100%,4445,4436,105,2351.69906779661,19
