clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,195,193,23,105.1476,64
200,10000,10000,100%,173,171,5,95.3413,51
300,15000,15000,100%,246,245,4,134.05993333333333,52
400,20000,20000,100%,287,286,3,144.2921,29
500,25000,25000,100%,358,358,4,188.89664,55
600,30000,30000,100%,443,441,4,232.16283333333334,33
700,35000,35000,100%,491,489,4,252.11568571428572,26
800,40000,40000,100%,535,533,5,278.046375,30
900,45000,45000,100%,616,614,16,336.4716888888889,28
1000,50000,50000,100%,731,729,7,385.8444,36
1100,55000,55000,100%,752,751,8,405.25196363636366,37
1200,60000,60000,100%,833,832,23,448.842,26
1300,65000,65000,100%,895,892,8,483.2203692307692,29
1400,70000,70000,100%,943,941,12,508.3099142857143,24
1500,75000,75000,100%,1033,1030,12,562.50772,27
1600,80000,80000,100%,1089,1087,14,587.1295375,31
1700,85000,85000,100%,1180,1177,17,635.384894117647,27
1800,90000,90000,100%,1255,1252,14,674.8326777777778,27
1900,95000,95000,100%,1327,1323,15,697.2518736842105,36
2000,100000,100000,100%,1373,1369,11,709.62066,24
2100,105000,105000,100%,1461,1458,23,791.5657428571428,46
2200,110000,110000,100%,1485,1483,13,793.248409090909,34
2300,115000,115000,100%,1540,1534,11,806.2114,28
2400,120000,120000,100%,1672,1668,16,866.580825,25
2500,125000,125000,100%,1652,1649,20,863.269024,32
2600,130000,130000,100%,1749,1745,20,913.3400230769231,25
2700,135000,135000,100%,1884,1802,26,993.1811333333334,30
2800,140000,140000,100%,1938,1933,31,1007.7461428571429,24
2900,145000,145000,100%,2008,2003,36,1035.6445724137932,25
3000,150000,150000,100%,2071,2064,44,1099.4170333333334,29
3100,155000,155000,100%,2128,2124,40,1112.2286387096774,28
3200,160000,160000,100%,2222,2217,40,1161.0946875,21
3300,165000,165000,100%,2319,2310,41,1235.0274787878789,22
3400,170000,170000,100%,2348,2343,44,1240.0857470588235,22
3500,175000,175000,100%,2378,2371,17,1222.8071028571428,23
3600,180000,180000,100%,2612,2607,43,1396.8461166666666,28
3700,185000,185000,100%,2697,2690,48,1399.440545945946,34
3800,190000,190000,100%,2710,2704,20,1386.5307578947368,24
3900,195000,195000,100%,2753,2745,47,1461.8573435897436,24
4000,200000,200000,100%,2862,2854,49,1474.860585,24
4100,205000,205000,100%,2826,2819,23,1455.692243902439,39
4200,210000,210000,100%,2992,2983,63,1588.1234333333334,21
4300,215000,215000,100%,3082,3074,52,1606.4270325581394,24
4400,220000,220000,100%,3083,3076,26,1590.409509090909,25
4500,225000,225000,100%,3227,3220,19,1675.4208888888888,30
4600,230000,230000,100%,3270,3259,54,1696.643143478261,21
4700,235000,235000,100%,3436,3356,58,1790.3389148936171,23
4800,240000,240000,100%,3572,3568,33,1891.8285583333334,22
4900,245000,245000,100%,3561,3556,20,1797.809281632653,21
5000,250000,250000,100%,3673,3665,23,1872.466292,21
5100,255000,255000,100%,3819,3809,22,1905.5971019607844,23
5200,260000,260000,100%,3712,3703,27,1896.971473076923,67
5300,265000,265000,100%,3862,3854,58,1997.1030490566038,27
5400,270000,270000,100%,4032,3954,22,2144.319437037037,20
5500,275000,275000,100%,4019,4012,48,2085.1882109090907,25
5600,280000,280000,100%,4216,4209,50,2169.5985928571426,23
5700,285000,285000,100%,4233,4224,65,2184.8469192982457,29
5800,290000,290000,100%,4259,4254,66,2174.351824137931,24
5900,295000,295000,100%,4503,4497,75,2350.989759322034,20
6000,300000,300000,100%,4406,4401,77,2317.399643333333,23
6100,305000,305000,100%,4691,4677,123,2433.7432262295083,23
6200,310000,310000,100%,4611,4598,134,2418.747922580645,22
6300,315000,315000,100%,4831,4819,131,2479.7532507936507,20
6400,320000,320000,100%,4824,4812,138,2504.818590625,26
6500,325000,325000,100%,5004,4992,142,2603.4042307692307,25
6600,330000,330000,100%,5044,5032,140,2630.7245666666668,24
6700,335000,335000,100%,5171,5160,148,2730.097247761194,28
6800,340000,340000,100%,5129,5117,142,2660.5484588235295,21
6900,345000,345000,100%,5366,5353,150,2801.7064144927535,27
7000,350000,350000,100%,5267,5254,152,2762.363871428571,25
7100,355000,355000,100%,5497,5481,162,2907.1979464788733,27
7200,360000,360000,100%,5294,5280,160,2787.838188888889,20
7300,365000,365000,100%,5645,5631,163,2894.741493150685,24
7400,370000,370000,100%,5503,5489,164,2866.0289594594597,22
7500,375000,375000,100%,5560,5546,168,2914.6938133333333,21
7600,380000,380000,100%,5888,5875,174,3027.485,21
7700,385000,385000,100%,5768,5753,175,3013.6766935064934,32
7800,390000,390000,100%,6024,6004,176,3190.8052666666667,23
7900,395000,395000,100%,6324,6286,177,3147.5963316455695,23
8000,400000,400000,100%,6230,6215,180,3302.847595,30
8100,405000,405000,100%,6209,6194,182,3236.872350617284,20
8200,410000,410000,100%,6420,6402,187,3324.725219512195,39
8300,415000,415000,100%,6426,6402,185,3289.7352096385544,22
8400,420000,420000,100%,6453,6437,188,3363.966645238095,21
8500,425000,425000,100%,6544,6527,190,3441.273602352941,24
8600,430000,430000,100%,6627,6610,191,3433.3278744186046,20
8700,435000,435000,100%,6904,6880,199,3598.843931034483,23
8800,440000,440000,100%,6952,6928,197,3599.6438022727275,24
8900,445000,445000,100%,6930,6913,199,3583.26757752809,25
9000,450000,450000,100%,7083,7060,201,3760.6392488888887,23
9100,455000,455000,100%,7194,7175,203,3736.0719934065933,24
9200,460000,460000,100%,7110,7092,206,3712.608056521739,22
9300,465000,465000,100%,7314,7290,214,3810.855365591398,24
9400,470000,470000,100%,7404,7386,208,3825.6638212765956,22
9500,475000,475000,100%,7357,7338,214,3804.189376842105,26
9600,480000,480000,100%,7611,7592,218,4045.995589583333,27
9700,485000,485000,100%,7676,7650,217,4010.478975257732,21
9800,490000,490000,100%,7698,7673,216,3929.73193877551,21
