clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,291,203,66,120.787,82
200,10000,10000,100%,842,750,82,423.2044,85
300,15000,15000,100%,956,805,137,428.2008666666667,65
400,20000,20000,100%,1291,1127,154,594.15185,56
500,25000,25000,100%,1601,1400,193,735.45304,52
600,30000,30000,100%,1945,1692,238,890.9137666666667,54
700,35000,35000,100%,2291,2005,267,1053.1658571428572,54
800,40000,40000,100%,2615,2272,311,1183.089725,55
900,45000,45000,100%,2989,2598,360,1345.4058444444445,54
1000,50000,50000,100%,3317,2893,399,1511.10274,56
1100,55000,55000,100%,3698,3235,425,1675.0568181818182,71
1200,60000,60000,100%,3983,3508,346,1830.1108333333334,55
1300,65000,65000,100%,4362,3801,533,1989.9472923076924,54
1400,70000,70000,100%,4743,4167,547,2176.5704,49
1500,75000,75000,100%,5133,4504,591,2341.489973333333,71
1600,80000,80000,100%,5436,4748,636,2475.3945625,95
1700,85000,85000,100%,5868,5153,684,2683.9891058823528,55
1800,90000,90000,100%,6278,5527,715,2853.4431222222224,52
1900,95000,95000,100%,6592,5788,763,2988.2652315789474,55
2000,100000,100000,100%,6987,6143,792,3201.95025,51
2100,105000,105000,100%,7356,6475,816,3365.8695523809524,55
2200,110000,110000,100%,7809,6873,869,3568.503309090909,54
2300,115000,115000,100%,8145,7169,512,3697.246452173913,162
2400,120000,120000,100%,8441,7431,940,3864.3108583333333,55
2500,125000,125000,100%,8994,7935,992,4109.877728,49
2600,130000,130000,100%,9223,8096,1039,4209.895169230769,242
2700,135000,135000,100%,9644,8494,1081,4376.801414814815,54
2800,140000,140000,100%,9982,8784,1104,4517.402814285714,48
2900,145000,145000,100%,10439,9191,1157,4724.076144827586,239
3000,150000,150000,100%,10756,9482,1179,4844.070273333334,155
3100,155000,155000,100%,11109,9796,476,5039.946974193548,135
3200,160000,160000,100%,11560,10169,1262,5214.1366875,385
3300,165000,165000,100%,11884,10475,1319,5399.730187878788,50
3400,170000,170000,100%,12303,10858,1326,5630.524405882353,50
3500,175000,175000,100%,12756,11233,1410,5866.063834285715,448
3600,180000,180000,100%,13027,11481,1453,6043.116116666667,58
3700,185000,185000,100%,13734,12172,1447,6248.0183405405405,227
3800,190000,190000,100%,13961,12345,1483,6416.410352631579,49
3900,195000,195000,100%,14302,12637,1542,6558.02942051282,138
4000,200000,200000,100%,14492,12775,1577,6625.683665,512
