clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,186,185,14,94.2948,63
200,10000,10000,100%,135,134,4,76.0307,53
300,15000,15000,100%,182,181,6,101.21333333333334,50
400,20000,20000,100%,203,203,12,112.5362,35
500,25000,25000,100%,231,229,22,128.86336,56
600,30000,30000,100%,308,304,30,168.52193333333332,27
700,35000,35000,100%,344,340,32,179.92,28
800,40000,40000,100%,400,397,29,223.8201,27
900,45000,45000,100%,452,419,40,257.35026666666664,28
1000,50000,50000,100%,466,463,55,272.06952,31
1100,55000,55000,100%,556,550,52,314.9530909090909,36
1200,60000,60000,100%,616,613,47,338.16881666666666,25
1300,65000,65000,100%,672,669,47,363.0211538461538,31
1400,70000,70000,100%,677,674,61,379.3077714285714,24
1500,75000,75000,100%,768,760,65,441.2557733333333,26
1600,80000,80000,100%,879,849,60,504.899775,29
1700,85000,85000,100%,899,895,73,499.45114117647057,26
1800,90000,90000,100%,984,981,72,537.4577222222222,25
1900,95000,95000,100%,1074,1025,67,585.9417684210526,41
2000,100000,100000,100%,1008,1001,79,530.28021,23
2100,105000,105000,100%,1154,1149,70,616.8921714285714,44
2200,110000,110000,100%,1131,1127,85,606.9248,26
2300,115000,115000,100%,1225,1220,81,672.2849130434782,25
2400,120000,120000,100%,1347,1317,96,747.8732833333333,32
2500,125000,125000,100%,1318,1313,81,709.008688,24
2600,130000,130000,100%,1436,1391,71,765.8139769230769,25
2700,135000,135000,100%,1468,1463,97,799.6223629629629,27
2800,140000,140000,100%,1474,1446,105,813.2319785714286,29
2900,145000,145000,100%,1599,1594,83,867.7462344827586,25
3000,150000,150000,100%,1680,1655,129,942.8860466666666,30
3100,155000,155000,100%,1655,1650,126,914.8861096774193,26
3200,160000,160000,100%,1842,1811,91,986.47174375,21
3300,165000,165000,100%,1979,1975,104,1078.1384363636364,21
3400,170000,170000,100%,1940,1871,114,1054.7603588235295,22
3500,175000,175000,100%,2153,2149,100,1125.250937142857,25
3600,180000,180000,100%,2233,2164,126,1217.07775,28
3700,185000,185000,100%,2260,2256,105,1197.5847135135134,37
3800,190000,190000,100%,2182,2176,98,1146.1986368421053,28
3900,195000,195000,100%,2406,2337,163,1367.8395948717948,27
4000,200000,200000,100%,2337,2328,101,1232.43422,25
4100,205000,205000,100%,2177,2163,168,1176.8130146341464,39
4200,210000,210000,100%,2614,2439,144,1458.9940571428572,29
4300,215000,215000,100%,2533,2523,132,1286.6626372093024,25
4400,220000,220000,100%,2470,2456,143,1290.9431136363637,21
4500,225000,225000,100%,2851,2770,144,1597.76636,25
4600,230000,230000,100%,3069,3042,100,1513.706847826087,27
4700,235000,235000,100%,2751,2735,156,1420.9442425531915,24
4800,240000,240000,100%,3011,2888,182,1699.8012291666666,22
4900,245000,245000,100%,3239,3198,115,1617.0359836734694,23
5000,250000,250000,100%,3053,3043,142,1580.905472,22
5100,255000,255000,100%,2881,2871,168,1562.0698901960784,31
5200,260000,260000,100%,3387,3263,184,1809.8101884615385,21
5300,265000,265000,100%,3586,3485,106,1846.471286792453,25
5400,270000,270000,100%,3271,3248,168,1620.391111111111,23
5500,275000,275000,100%,3268,3258,98,1774.2035090909092,21
5600,280000,280000,100%,3244,3233,192,1680.6277785714285,21
5700,285000,285000,100%,3674,3555,167,2010.5334666666668,32
5800,290000,290000,100%,4039,3816,227,2125.3236758620687,23
5900,295000,295000,100%,3991,3911,124,2062.8576372881357,20
6000,300000,300000,100%,3647,3575,95,2004.0269433333333,23
6100,305000,305000,100%,3786,3721,199,1981.211137704918,20
6200,310000,310000,100%,4008,3938,114,2085.1095161290323,21
6300,315000,315000,100%,3816,3765,245,1977.3125396825396,27
6400,320000,320000,100%,4147,4077,114,2176.1173625,22
6500,325000,325000,100%,4053,3992,254,2060.6347815384615,22
6600,330000,330000,100%,4114,4063,250,2197.2150333333334,22
6700,335000,335000,100%,4291,4208,223,2276.954704477612,25
6800,340000,340000,100%,4452,4355,140,2320.4943235294118,23
6900,345000,345000,100%,4149,4036,317,2272.3420869565216,21
7000,350000,350000,100%,4656,4434,276,2585.793717142857,27
7100,355000,355000,100%,5005,4850,254,2625.2331323943663,21
7200,360000,360000,100%,5163,4670,143,2715.769775,24
7300,365000,365000,100%,5313,4834,149,2806.443265753425,22
7400,370000,370000,100%,5385,5285,167,2879.861864864865,21
7500,375000,375000,100%,5465,5298,328,2800.027674666667,31
7600,380000,380000,100%,5385,5200,345,2859.2530157894735,30
7700,385000,385000,100%,5621,5447,330,3006.6713116883116,28
7800,390000,390000,100%,5555,5386,357,2944.0912615384614,23
7900,395000,395000,100%,5686,5664,194,3029.0779974683546,21
8000,400000,400000,100%,5371,5278,337,2908.46564,23
8100,405000,405000,100%,5880,5860,200,3150.9483209876544,21
8200,410000,410000,100%,5685,5535,337,3008.985182926829,39
8300,415000,415000,100%,5988,5971,228,3211.4834024096385,21
8400,420000,420000,100%,5511,5338,363,2940.271816666667,20
8500,425000,425000,100%,6163,6145,211,3292.230037647059,24
8600,430000,430000,100%,6017,5940,289,3190.128823255814,23
8700,435000,435000,100%,6406,6389,204,3368.6027609195403,25
8800,440000,440000,100%,6529,6308,386,3413.149093181818,20
8900,445000,445000,100%,6395,6291,192,3359.1698966292133,24
9000,450000,450000,100%,6617,6411,399,3596.7516244444446,22
9100,455000,455000,100%,6749,6576,420,3580.2055472527472,25
9200,460000,460000,100%,6648,6469,412,3523.290956521739,23
9300,465000,465000,100%,6854,6836,216,3612.4230774193547,25
9400,470000,470000,100%,6965,6337,402,3670.602089361702,26
9500,475000,475000,100%,6844,6125,189,3620.4077663157896,26
9600,480000,480000,100%,7124,6906,421,3838.4327791666665,19
9700,485000,485000,100%,7019,6527,404,3729.700286597938,21
9800,490000,490000,100%,7264,6771,420,3811.663624489796,21
9900,495000,495000,100%,7293,6764,409,3909.0237515151516,24
10000,500000,500000,100%,7284,6533,417,3857.44373,25
