clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,157,155,14,83.716,82
200,10000,10000,100%,286,230,3,148.8793,69
300,15000,15000,100%,425,358,2,233.26426666666666,70
400,20000,20000,100%,573,484,3,311.827,52
500,25000,25000,100%,702,598,3,387.46372,52
600,30000,30000,100%,853,725,3,468.69803333333334,1007
700,35000,35000,100%,989,850,5,548.6130285714286,52
800,40000,40000,100%,1145,960,8,625.490725,49
900,45000,45000,100%,1274,1090,9,700.3314666666666,56
1000,50000,50000,100%,1427,1191,6,784.46192,112
1100,55000,55000,100%,1542,1336,39,865.6848909090909,70
1200,60000,60000,100%,1715,1441,7,942.7558833333334,61
1300,65000,65000,100%,1953,1632,10,1038.5722153846154,66
1400,70000,70000,100%,2011,1710,8,1116.983557142857,48
1500,75000,75000,100%,2182,1872,10,1215.5298266666666,61
1600,80000,80000,100%,2302,1973,14,1260.6878375,57
1700,85000,85000,100%,2424,2101,12,1349.9876823529412,149
1800,90000,90000,100%,2611,2247,8,1456.4826888888888,61
1900,95000,95000,100%,2852,2492,12,1547.352547368421,80
2000,100000,100000,100%,2888,2490,8,1599.35143,57
2100,105000,105000,100%,3054,2582,14,1684.2457047619048,84
2200,110000,110000,100%,3317,2839,16,1888.7574,70
2300,115000,115000,100%,3366,2808,19,1830.7132608695651,69
2400,120000,120000,100%,3637,3114,17,1957.6406083333334,62
2500,125000,125000,100%,3692,3163,10,2024.255936,46
2600,130000,130000,100%,3958,3338,11,2141.8169076923077,75
2700,135000,135000,100%,3922,3288,12,2157.301496296296,95
2800,140000,140000,100%,4239,3563,52,2275.1952071428573,81
2900,145000,145000,100%,4304,3689,14,2336.8991172413794,62
3000,150000,150000,100%,4577,3867,21,2448.9305133333332,67
3100,155000,155000,100%,4579,3852,23,2469.226483870968,68
3200,160000,160000,100%,5005,4203,28,2723.6872375,68
3300,165000,165000,100%,4952,4205,45,2722.3879515151516,51
3400,170000,170000,100%,5026,4329,49,2792.8574,247
3500,175000,175000,100%,5401,4650,64,3075.0005771428573,71
3600,180000,180000,100%,5629,4859,22,3037.48775,386
3700,185000,185000,100%,5483,4746,16,3011.3556216216216,58
3800,190000,190000,100%,5699,4900,43,3144.7643210526317,297
3900,195000,195000,100%,6237,5285,18,3235.0733538461536,375
4000,200000,200000,100%,6169,5352,21,3309.938215,49
4100,205000,205000,100%,6093,5097,71,3306.9717707317072,76
4200,210000,210000,100%,6401,5366,42,3397.682885714286,683
4300,215000,215000,100%,6383,5447,74,3493.9536976744184,416
4400,220000,220000,100%,6919,5796,22,3756.2748,180
4500,225000,225000,100%,7175,6247,75,4000.01752,113
4600,230000,230000,100%,7187,6038,46,3970.970647826087,122
4700,235000,235000,100%,7445,6435,76,4198.766327659574,102
4800,240000,240000,100%,7631,6462,36,4253.510870833334,172
4900,245000,245000,100%,7741,6651,20,4364.338914285714,266
5000,250000,250000,100%,7830,6565,163,4408.2926,81
5100,255000,255000,100%,8076,7298,37,4715.699270588235,133
5200,260000,260000,100%,8105,7397,11,4678.125876923077,130
5300,265000,265000,100%,8258,7073,2199,4712.253524528302,298
5400,270000,270000,100%,8287,6948,23,4556.034792592593,662
5500,275000,275000,100%,8299,7046,84,4504.715749090909,449
5600,280000,280000,100%,8940,7760,24,4849.176875,74
5700,285000,285000,100%,8987,7676,29,4811.832512280702,36
5800,290000,290000,100%,9486,7869,38,5120.738037931034,54
5900,295000,295000,100%,8901,7326,100,4789.173525423729,462
6000,300000,300000,100%,9184,7581,42,4912.98649,517
6100,305000,305000,100%,9761,8256,44,5357.6898,64
6200,310000,310000,100%,9778,8529,115,5487.001538709677,61
