clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,158,156,19,86.593,83
200,10000,10000,100%,283,238,2,149.3493,69
300,15000,15000,100%,421,347,4,227.3614,73
400,20000,20000,100%,566,478,35,302.4556,54
500,25000,25000,100%,702,591,2,385.31488,55
600,30000,30000,100%,842,725,5,465.55583333333334,51
700,35000,35000,100%,1873,1715,8,841.6944857142857,56
800,40000,40000,100%,1144,952,6,620.979575,52
900,45000,45000,100%,1264,1080,346,695.8091333333333,54
1000,50000,50000,100%,1428,1216,10,789.2191,58
1100,55000,55000,100%,1622,1356,7,884.235,72
1200,60000,60000,100%,1712,1453,16,945.5916666666667,53
1300,65000,65000,100%,1843,1572,14,1011.4849230769231,60
1400,70000,70000,100%,2018,1752,18,1125.4666714285713,47
1500,75000,75000,100%,2135,1842,11,1180.34936,147
1600,80000,80000,100%,2274,1950,12,1254.836325,63
1700,85000,85000,100%,2449,2074,12,1342.2349764705882,58
1800,90000,90000,100%,2591,2197,7,1415.9757444444444,158
1900,95000,95000,100%,2788,2357,14,1528.2656526315789,81
2000,100000,100000,100%,3006,2609,11,1643.8706,59
2100,105000,105000,100%,3045,2586,15,1659.5985904761906,65
2200,110000,110000,100%,3189,2683,13,1757.8990545454546,74
2300,115000,115000,100%,3381,2842,875,1858.2513043478261,194
2400,120000,120000,100%,3519,2905,13,1903.3191666666667,69
2500,125000,125000,100%,3813,3288,894,2057.06944,42
2600,130000,130000,100%,3819,3207,19,2071.1916384615383,55
2700,135000,135000,100%,4084,3472,12,2220.9272370370372,75
2800,140000,140000,100%,4163,3611,22,2297.9758214285716,73
2900,145000,145000,100%,4497,3891,27,2419.408096551724,79
3000,150000,150000,100%,4407,3780,30,2396.94526,52
3100,155000,155000,100%,4745,4093,30,2654.590129032258,73
3200,160000,160000,100%,4739,4103,36,2615.52465625,77
3300,165000,165000,100%,4948,4215,49,2728.395078787879,278
3400,170000,170000,100%,5238,4476,41,2949.1549705882353,74
3500,175000,175000,100%,5217,4489,68,2910.8254342857144,71
3600,180000,180000,100%,5297,4522,22,2933.402,601
3700,185000,185000,100%,5566,4726,15,3038.3498702702705,303
3800,190000,190000,100%,5943,4974,67,3165.334684210526,69
3900,195000,195000,100%,5802,4817,16,3101.192123076923,430
4000,200000,200000,100%,6014,5170,315,3285.402095,73
4100,205000,205000,100%,6437,5451,68,3563.0719512195124,52
4200,210000,210000,100%,6700,5718,20,3536.850733333333,130
4300,215000,215000,100%,6632,5785,73,3627.6956790697673,86
4400,220000,220000,100%,6984,5918,34,3718.728168181818,142
4500,225000,225000,100%,7082,5943,75,3779.3369911111113,110
4600,230000,230000,100%,7207,6229,17,3879.166239130435,152
4700,235000,235000,100%,7400,6312,30,4011.0612127659574,118
4800,240000,240000,100%,7591,6441,34,4129.4339,139
4900,245000,245000,100%,7710,6634,23,4143.221106122449,244
5000,250000,250000,100%,7835,6607,79,4246.480548,105
5100,255000,255000,100%,8152,7044,36,4522.123901960785,158
5200,260000,260000,100%,8099,6959,1998,4410.767126923077,96
5300,265000,265000,100%,8368,6949,32,4663.418271698113,185
5400,270000,270000,100%,8526,7300,82,4798.404025925926,67
5500,275000,275000,100%,8680,7535,23,4941.071116363636,72
5600,280000,280000,100%,8541,7107,53,4586.246660714286,476
5700,285000,285000,100%,9223,7844,24,4826.937915789474,504
5800,290000,290000,100%,9154,7806,86,4890.095513793103,68
5900,295000,295000,100%,9506,8399,85,5344.610810169492,42
6000,300000,300000,100%,9625,7719,95,4919.339583333333,71
6100,305000,305000,100%,10075,8436,40,5365.043262295082,85
6200,310000,310000,100%,10081,8201,117,5135.864696774193,88
6300,315000,315000,100%,10359,8544,122,5374.3451015873015,71
6400,320000,320000,100%,10348,8728,51,5308.768528125,501
6500,325000,325000,100%,11202,9795,38,5933.027104615385,143
6600,330000,330000,100%,10895,9133,130,5669.0039,220
6700,335000,335000,100%,11413,9869,132,6079.204588059702,155
6800,340000,340000,100%,11612,10098,137,5985.494273529412,156
6900,345000,345000,100%,11210,9651,17,6006.919878260869,142
7000,350000,350000,100%,11759,10315,135,6418.96864,175
7100,355000,355000,100%,12128,10266,138,6429.098140845071,162
7200,360000,360000,100%,12332,10593,2709,6596.757477777778,894
7300,365000,365000,100%,11903,10194,141,6563.229805479452,301
7400,370000,370000,100%,12368,11109,149,6903.93302972973,167
7500,375000,375000,100%,12767,10904,31,6986.026029333333,935
7600,380000,380000,100%,12957,11131,43,7106.489271052632,170
7700,385000,385000,100%,13119,11566,32,7183.156633766233,252
7800,390000,390000,100%,13387,11275,31,7241.252233333334,775
7900,395000,395000,100%,13551,11971,63,7511.237655696203,765
8000,400000,400000,100%,13515,11714,43,7334.119055,502
8100,405000,405000,100%,13782,11904,27,7600.294024691358,433
8200,410000,410000,100%,14074,12358,32,7834.102521951219,310
8300,415000,415000,100%,14375,12312,47,7873.13696626506,166
8400,420000,420000,100%,14348,12485,160,7990.838338095238,264
8500,425000,425000,100%,14461,13273,165,8231.604390588236,282
8600,430000,430000,100%,14581,12885,167,8541.360658139534,339
8700,435000,435000,100%,14329,11918,177,7830.444579310345,938
8800,440000,440000,100%,15258,13209,173,8382.484318181818,538
8900,445000,445000,100%,15353,13931,43,8673.013555056179,170
9000,450000,450000,100%,15583,13532,181,8845.825046666667,42
9100,455000,455000,100%,14793,12944,181,8247.496087912088,680
9200,460000,460000,100%,16567,13968,184,9433.04802173913,220
9300,465000,465000,100%,15221,12841,187,8311.933516129033,266
9400,470000,470000,100%,16145,14589,185,9122.729370212766,642
9500,475000,475000,100%,16492,14521,192,9771.650418947369,137
9600,480000,480000,100%,16652,13601,192,8880.697320833333,258
9700,485000,485000,100%,17156,15006,4114,9395.930587628865,67
9800,490000,490000,100%,17453,15156,196,9388.116989795919,856
9900,495000,495000,100%,17817,15485,53,9712.363505050505,43
10000,500000,500000,100%,17166,15412,200,9633.00062,86
