clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,163,162,32,89.2182,75
200,10000,10000,100%,267,218,8,138.0091,67
300,15000,15000,100%,399,336,2,205.09293333333332,69
400,20000,20000,100%,537,446,139,275.75145,45
500,25000,25000,100%,675,585,180,358.6156,55
600,30000,30000,100%,812,658,213,424.8826,52
700,35000,35000,100%,947,790,259,484.9328,54
800,40000,40000,100%,1076,889,4,565.539275,50
900,45000,45000,100%,1211,992,14,630.7487777777778,50
1000,50000,50000,100%,1349,1105,15,712.47078,49
1100,55000,55000,100%,1482,1209,6,788.2727272727273,58
1200,60000,60000,100%,1614,1362,406,869.8698166666667,48
1300,65000,65000,100%,1771,1509,20,919.1707692307692,56
1400,70000,70000,100%,1882,1605,6,1012.4893,48
1500,75000,75000,100%,2044,1721,7,1080.66268,75
1600,80000,80000,100%,2193,1843,10,1144.2956875,48
1700,85000,85000,100%,2327,1969,12,1218.5173647058823,52
1800,90000,90000,100%,2465,2086,11,1297.7192444444445,42
1900,95000,95000,100%,2597,2172,666,1364.4182631578947,70
2000,100000,100000,100%,2753,2296,38,1447.19392,102
2100,105000,105000,100%,2904,2454,16,1539.4027238095239,71
2200,110000,110000,100%,3004,2567,15,1590.5983545454546,57
2300,115000,115000,100%,3162,2699,813,1672.8057913043478,56
2400,120000,120000,100%,3304,2784,21,1717.0024416666668,64
2500,125000,125000,100%,3427,2914,34,1794.143536,113
2600,130000,130000,100%,3574,3024,18,1864.663076923077,41
2700,135000,135000,100%,3763,3197,28,1963.8611925925925,110
2800,140000,140000,100%,3885,3256,11,2061.328985714286,53
2900,145000,145000,100%,4041,3448,16,2130.0868965517243,63
3000,150000,150000,100%,4160,3543,26,2184.8795133333333,58
3100,155000,155000,100%,4287,3659,1088,2257.5257806451614,134
3200,160000,160000,100%,4449,3699,34,2323.22781875,61
3300,165000,165000,100%,4694,3877,12,2445.4072,57
3400,170000,170000,100%,4835,3981,15,2526.245305882353,58
3500,175000,175000,100%,4886,4086,1244,2578.9697314285713,62
3600,180000,180000,100%,5102,4294,55,2710.094327777778,65
3700,185000,185000,100%,5166,4321,69,2725.0744108108106,57
3800,190000,190000,100%,5428,4458,69,2891.0066578947367,58
3900,195000,195000,100%,5511,4613,73,2922.904164102564,58
4000,200000,200000,100%,5557,4615,75,2930.766335,53
4100,205000,205000,100%,5830,4770,23,3037.736229268293,57
4200,210000,210000,100%,6156,5181,19,3147.6058428571428,242
4300,215000,215000,100%,6028,5189,18,3153.860530232558,43
4400,220000,220000,100%,6287,5302,15,3265.125309090909,45
4500,225000,225000,100%,6517,5384,21,3372.9616,115
4600,230000,230000,100%,6517,5370,19,3382.7256304347825,66
4700,235000,235000,100%,6773,5717,20,3497.359919148936,75
4800,240000,240000,100%,6796,5558,50,3578.789045833333,67
4900,245000,245000,100%,6981,5866,1725,3610.1820857142857,79
5000,250000,250000,100%,7244,6055,18,3754.805072,77
5100,255000,255000,100%,7307,6034,32,3813.6471960784315,100
5200,260000,260000,100%,7526,6178,41,3873.595869230769,69
5300,265000,265000,100%,7630,6303,19,3954.5543056603774,109
5400,270000,270000,100%,7886,6518,2023,4097.470785185185,73
5500,275000,275000,100%,7847,6419,30,4088.4948,118
5600,280000,280000,100%,8055,6821,12,4267.000567857142,112
5700,285000,285000,100%,8213,6688,13,4243.716922807018,39
5800,290000,290000,100%,8446,6886,2194,4400.4553,90
5900,295000,295000,100%,8395,6941,38,4405.636911864407,96
6000,300000,300000,100%,8656,7342,25,4604.12238,63
6100,305000,305000,100%,8832,7381,37,4543.626291803279,68
6200,310000,310000,100%,8898,7012,43,4522.771470967742,337
6300,315000,315000,100%,8992,7488,24,4650.586298412699,90
6400,320000,320000,100%,9131,7435,31,4698.119303125,97
6500,325000,325000,100%,9682,8020,43,4853.225843076923,265
6600,330000,330000,100%,10136,8133,32,4879.930057575758,48
6700,335000,335000,100%,9929,8166,131,5008.239143283582,86
6800,340000,340000,100%,10171,8333,2517,5180.819164705882,76
6900,345000,345000,100%,10402,8474,114,5302.510985507246,114
7000,350000,350000,100%,10603,8607,2645,5322.241422857142,82
7100,355000,355000,100%,10551,8659,146,5334.210445070423,147
7200,360000,360000,100%,10788,8800,142,5435.313880555555,366
