clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,153,149,17,81.7004,79
200,10000,10000,100%,273,229,39,139.8493,65
300,15000,15000,100%,407,344,6,202.77213333333333,60
400,20000,20000,100%,541,464,141,279.08485,42
500,25000,25000,100%,680,587,184,362.46644,59
600,30000,30000,100%,831,704,4,433.75,44
700,35000,35000,100%,954,841,3,505.2822,475
800,40000,40000,100%,1090,914,276,576.798175,46
900,45000,45000,100%,1227,1045,317,637.1034444444444,53
1000,50000,50000,100%,1344,1165,4,709.60324,45
1100,55000,55000,100%,1486,1292,13,797.0193090909091,62
1200,60000,60000,100%,1635,1415,415,869.3948,46
1300,65000,65000,100%,1741,1482,5,923.0353076923077,55
1400,70000,70000,100%,1895,1621,15,1014.1700857142857,51
1500,75000,75000,100%,2083,1769,8,1123.8531466666666,44
1600,80000,80000,100%,2186,1848,10,1159.733325,58
1700,85000,85000,100%,2320,1978,11,1220.2566235294119,55
1800,90000,90000,100%,2460,2095,20,1302.3665,48
1900,95000,95000,100%,2616,2230,653,1362.7591894736843,56
2000,100000,100000,100%,2742,2344,12,1464.83648,47
2100,105000,105000,100%,2931,2510,17,1556.6717142857142,67
2200,110000,110000,100%,3001,2574,751,1590.2642363636364,104
2300,115000,115000,100%,3159,2699,26,1668.8042,52
2400,120000,120000,100%,3308,2794,17,1752.5256166666666,56
2500,125000,125000,100%,3445,2937,32,1810.864072,78
2600,130000,130000,100%,3647,3134,23,1923.1192461538462,48
2700,135000,135000,100%,3770,3189,17,1988.1405851851853,56
2800,140000,140000,100%,3890,3354,12,2051.9131714285713,62
2900,145000,145000,100%,4011,3397,17,2118.954668965517,69
3000,150000,150000,100%,4232,3583,25,2198.3698466666665,60
3100,155000,155000,100%,4353,3686,8,2260.0631677419356,64
3200,160000,160000,100%,4489,3714,37,2330.04111875,57
3300,165000,165000,100%,4661,3967,35,2429.680806060606,59
3400,170000,170000,100%,4809,4052,1188,2527.6914764705884,151
3500,175000,175000,100%,4966,4094,12,2629.259137142857,61
3600,180000,180000,100%,5054,4326,61,2682.4105777777777,61
3700,185000,185000,100%,5281,4510,65,2822.0106594594595,48
3800,190000,190000,100%,5405,4646,70,2874.0146736842107,51
3900,195000,195000,100%,5459,4559,35,2889.8162256410255,79
4000,200000,200000,100%,5720,4878,48,3023.49671,53
4100,205000,205000,100%,5910,4871,17,2986.992780487805,288
4200,210000,210000,100%,5913,4991,10,3087.1635238095237,65
4300,215000,215000,100%,6012,5128,77,3158.3201162790697,171
4400,220000,220000,100%,6410,5172,21,3231.394209090909,133
4500,225000,225000,100%,6327,5256,1646,3308.8360577777776,55
4600,230000,230000,100%,6575,5508,81,3405.5843260869565,188
4700,235000,235000,100%,6699,5500,20,3448.962480851064,108
4800,240000,240000,100%,6880,5881,86,3690.3594541666666,72
4900,245000,245000,100%,7008,5896,24,3718.5756081632653,86
5000,250000,250000,100%,7251,6029,98,3797.351488,66
5100,255000,255000,100%,7278,5971,26,3829.662576470588,105
5200,260000,260000,100%,7500,6336,99,3947.3864423076925,77
5300,265000,265000,100%,7760,6571,30,4096.9832075471695,132
5400,270000,270000,100%,7646,6295,21,4057.529722222222,318
5500,275000,275000,100%,8175,6830,99,4206.838843636364,94
5600,280000,280000,100%,7978,6586,33,4193.700157142857,73
5700,285000,285000,100%,8255,6838,2038,4320.096438596492,101
5800,290000,290000,100%,8214,6775,22,4320.164631034483,179
5900,295000,295000,100%,8826,7240,2233,4561.119905084745,45
6000,300000,300000,100%,8564,7091,22,4454.25202,44
6100,305000,305000,100%,9015,7332,43,4572.710039344262,44
6200,310000,310000,100%,9086,7349,44,4647.927974193549,57
6300,315000,315000,100%,9117,7325,20,4680.811996825397,38
6400,320000,320000,100%,9314,7575,49,4805.737371875,64
6500,325000,325000,100%,9253,7556,42,4818.063655384615,48
6600,330000,330000,100%,9929,8052,20,4963.043393939394,46
6700,335000,335000,100%,10208,8467,130,5020.86867761194,65
6800,340000,340000,100%,10461,8839,131,5253.170061764706,85
6900,345000,345000,100%,10117,8363,47,5202.57447826087,105
7000,350000,350000,100%,10651,8697,40,5382.378291428571,303
7100,355000,355000,100%,10666,8858,15,5467.088667605633,55
7200,360000,360000,100%,11006,9063,141,5558.152788888889,143
7300,365000,365000,100%,11152,9476,144,5705.010306849315,129
7400,370000,370000,100%,11267,9362,41,5730.032675675676,115
7500,375000,375000,100%,11161,8807,149,5614.442928,168
7600,380000,380000,100%,11664,9500,37,6167.18062368421,152
7700,385000,385000,100%,11623,9782,149,6184.46227012987,165
7800,390000,390000,100%,11901,10008,17,6186.71851025641,110
7900,395000,395000,100%,12011,9953,161,6232.989032911392,164
8000,400000,400000,100%,12353,10528,159,6568.6769075,169
8100,405000,405000,100%,12666,10867,18,6650.838748148148,423
8200,410000,410000,100%,12521,10596,161,6734.527163414634,180
8300,415000,415000,100%,12816,10500,55,6560.684691566265,517
8400,420000,420000,100%,12909,10739,162,6764.8155119047615,203
8500,425000,425000,100%,12788,10728,36,6625.565534117647,294
8600,430000,430000,100%,12887,11022,167,6783.202241860465,163
8700,435000,435000,100%,13073,11075,44,6828.8831540229885,560
8800,440000,440000,100%,13306,11148,170,7005.492509090909,193
