clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,217,203,81,137.9238,128
200,10000,10000,100%,239,166,14,111.7073,1053
300,15000,15000,100%,261,230,3,146.55253333333334,1067
400,20000,20000,100%,305,253,17,163.6262,1056
500,25000,25000,100%,304,249,70,153.62944,1056
600,30000,30000,100%,369,288,20,187.41276666666667,1069
700,35000,35000,100%,480,347,104,231.662,1066
800,40000,40000,100%,457,428,18,256.3272,1072
900,45000,45000,100%,528,485,24,288.13928888888887,1073
1000,50000,50000,100%,586,554,24,323.53708,1082
1100,55000,55000,100%,644,612,32,361.56696363636365,1070
1200,60000,60000,100%,706,678,30,393.09181666666666,1080
1300,65000,65000,100%,767,733,30,422.2097076923077,1088
1400,70000,70000,100%,847,815,23,466.1901857142857,1095
1500,75000,75000,100%,894,842,27,490.20821333333333,1103
1600,80000,80000,100%,978,944,27,532.7169,1078
1700,85000,85000,100%,1019,972,24,552.0231176470588,1104
1800,90000,90000,100%,1111,1072,25,603.7226333333333,1095
1900,95000,95000,100%,1139,1063,20,611.3987578947368,1122
2000,100000,100000,100%,1203,1163,29,653.96338,1101
2100,105000,105000,100%,1293,1248,41,699.8228285714285,1115
2200,110000,110000,100%,1297,1202,31,710.4893,1118
2300,115000,115000,100%,1360,1280,30,710.1640521739131,1108
2400,120000,120000,100%,4083,4082,39,755.89945,1125
2500,125000,125000,100%,1456,1355,31,775.220072,1138
2600,130000,130000,100%,1542,1458,23,809.7703846153846,1138
2700,135000,135000,100%,1604,1481,37,848.0587555555555,1154
2800,140000,140000,100%,1780,1698,30,915.9665785714286,1158
2900,145000,145000,100%,1721,1616,35,888.0733103448276,1155
3000,150000,150000,100%,1862,1787,48,1002.5601133333333,1135
3100,155000,155000,100%,1871,1738,44,981.7948193548388,1139
3200,160000,160000,100%,2151,2080,302,1111.42265,31
3300,165000,165000,100%,2094,1986,33,1122.8190545454545,1195
3400,170000,170000,100%,2055,1921,51,1077.5384294117648,1143
3500,175000,175000,100%,2229,2040,43,1140.533017142857,1188
3600,180000,180000,100%,2248,2087,36,1188.1392722222222,1187
3700,185000,185000,100%,2240,2082,40,1181.0397189189189,1200
3800,190000,190000,100%,2339,2194,51,1220.3801578947368,1186
3900,195000,195000,100%,2531,2447,37,1353.9636615384616,1213
4000,200000,200000,100%,2458,2239,34,1273.03804,1198
4100,205000,205000,100%,2406,2206,36,1256.734292682927,1193
4200,210000,210000,100%,2754,2624,48,1466.7858428571428,1191
4300,215000,215000,100%,2781,2634,38,1446.7209255813952,1187
4400,220000,220000,100%,2722,2537,34,1417.6050409090908,1261
4500,225000,225000,100%,3010,2937,50,1637.0086977777778,1262
4600,230000,230000,100%,2841,2591,35,1469.5477260869566,1235
4700,235000,235000,100%,3072,2913,48,1609.8429063829788,1230
4800,240000,240000,100%,3148,2948,62,1609.5631375,1276
4900,245000,245000,100%,3375,3312,69,1819.936093877551,1276
5000,250000,250000,100%,3409,3258,90,1775.95482,1210
5100,255000,255000,100%,3545,3294,95,1862.0616156862745,1282
5200,260000,260000,100%,3922,3707,119,2089.4038576923076,1233
5300,265000,265000,100%,3854,3672,123,2027.4198075471697,1044
5400,270000,270000,100%,3550,2834,127,1813.3666888888888,1315
5500,275000,275000,100%,4089,3866,125,2166.838523636364,1256
5600,280000,280000,100%,4078,3821,131,2153.2696642857145,1302
5700,285000,285000,100%,4283,4042,135,2237.462347368421,1282
5800,290000,290000,100%,4270,4023,137,2282.5465344827585,1234
5900,295000,295000,100%,4344,4112,131,2316.2700033898304,1264
6000,300000,300000,100%,4616,4440,147,2479.6876366666665,1289
6100,305000,305000,100%,4430,4151,140,2347.5206459016395,1286
6200,310000,310000,100%,4580,4259,145,2416.7772225806452,1284
6300,315000,315000,100%,4944,4747,151,2599.5423079365078,1332
6400,320000,320000,100%,4927,4719,154,2691.0689375,1327
6500,325000,325000,100%,4843,4574,158,2579.8266615384614,1363
6600,330000,330000,100%,5018,4701,139,2629.2698393939395,1308
6700,335000,335000,100%,5590,5314,172,2944.264253731343,1352
6800,340000,340000,100%,5190,4931,155,2735.3897264705884,1055
6900,345000,345000,100%,5417,5085,148,2847.7977652173913,1326
7000,350000,350000,100%,5346,5027,162,2848.3624485714286,1341
7100,355000,355000,100%,5560,5214,161,2923.832008450704,1324
7200,360000,360000,100%,5507,5189,163,2900.855722222222,1330
7300,365000,365000,100%,5812,5503,164,3046.1101561643836,1384
7400,370000,370000,100%,5746,5468,120,2878.4937513513514,1556
7500,375000,375000,100%,5811,5270,175,3056.073992,1452
7600,380000,380000,100%,5821,5559,51,2940.953368421053,1650
7700,385000,385000,100%,6000,5415,175,3135.3229766233767,1466
7800,390000,390000,100%,6140,5881,54,3141.0417974358975,1701
7900,395000,395000,100%,6484,5972,173,3342.560121518987,1446
8000,400000,400000,100%,6136,5771,49,3126.311935,1264
8100,405000,405000,100%,6169,5836,166,3318.878728395062,1479
8200,410000,410000,100%,6647,6309,49,3355.9586512195124,1656
8300,415000,415000,100%,6296,5882,181,3338.3217445783134,1482
8400,420000,420000,100%,6833,6459,61,3535.6077023809526,1686
8500,425000,425000,100%,6495,6117,174,3455.607755294118,1526
8600,430000,430000,100%,6874,6490,66,3697.9950139534885,1688
8700,435000,435000,100%,6969,6572,185,3629.4438620689657,1464
8800,440000,440000,100%,6932,6549,53,3600.848252272727,1675
8900,445000,445000,100%,7072,6584,539,3732.1832516853933,1460
9000,450000,450000,100%,7434,6820,54,3800.9930355555557,1504
9100,455000,455000,100%,7531,7292,713,4051.1177604395602,25
9200,460000,460000,100%,7327,6957,51,3874.2005760869565,1555
9300,465000,465000,100%,7618,7282,69,4060.0090322580645,1872
9400,470000,470000,100%,7675,7087,57,3989.638576595745,1671
9500,475000,475000,100%,7473,6975,198,3965.348842105263,1596
9600,480000,480000,100%,7773,7364,53,4159.763589583334,1618
9700,485000,485000,100%,7738,7319,223,4095.6531360824742,1569
9800,490000,490000,100%,7763,7200,216,4089.5695224489796,1589
9900,495000,495000,100%,8144,7702,224,4324.526323232323,1596
10000,500000,500000,100%,8289,7619,219,4300.164134,1655
