clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,213,194,79,136.322,118
200,10000,10000,100%,207,175,12,119.2045,1069
300,15000,15000,100%,255,212,3,134.69646666666668,1062
400,20000,20000,100%,329,268,18,183.96075,1052
500,25000,25000,100%,297,242,18,154.02984,1055
600,30000,30000,100%,369,307,20,186.6,1033
700,35000,35000,100%,552,452,176,280.3472,1048
800,40000,40000,100%,460,438,9,257.29145,1058
900,45000,45000,100%,515,472,20,278.2305777777778,1053
1000,50000,50000,100%,564,519,25,318.59118,1079
1100,55000,55000,100%,625,589,22,348.8852181818182,1083
1200,60000,60000,100%,690,641,26,379.58473333333336,1099
1300,65000,65000,100%,755,716,11,411.90653846153845,1073
1400,70000,70000,100%,814,764,27,446.43254285714283,1076
1500,75000,75000,100%,867,816,26,478.44624,1068
1600,80000,80000,100%,951,907,27,518.3431875,1082
1700,85000,85000,100%,1009,958,31,549.854,1102
1800,90000,90000,100%,1076,1025,33,588.5619444444444,1093
1900,95000,95000,100%,1112,1003,29,578.8456736842105,1112
2000,100000,100000,100%,1171,881,23,582.41485,1116
2100,105000,105000,100%,1298,1164,32,661.7469047619047,1110
2200,110000,110000,100%,1270,1176,16,661.4123727272728,1099
2300,115000,115000,100%,1346,1248,29,703.1249304347826,1104
2400,120000,120000,100%,1401,1271,137,737.0081916666667,1122
2500,125000,125000,100%,1487,1407,27,810.345384,1125
2600,130000,130000,100%,1566,1472,43,815.4645,1134
2700,135000,135000,100%,1682,1558,45,886.4833629629629,1156
2800,140000,140000,100%,1663,1580,32,884.8370071428571,1158
2900,145000,145000,100%,1650,1502,37,856.0882896551724,1150
3000,150000,150000,100%,1847,1762,49,977.2331133333333,1124
3100,155000,155000,100%,1944,1849,44,1049.560535483871,1171
3200,160000,160000,100%,1836,1683,32,968.7094125,1157
3300,165000,165000,100%,1958,1823,37,1019.3451878787879,1098
3400,170000,170000,100%,2025,1875,25,1076.538794117647,1207
3500,175000,175000,100%,2112,1937,56,1097.7380857142857,1202
3600,180000,180000,100%,2290,2089,49,1169.6178555555555,1191
3700,185000,185000,100%,2379,2266,35,1294.0191837837838,1186
3800,190000,190000,100%,2232,2038,30,1174.0335894736843,1177
3900,195000,195000,100%,2278,2087,45,1175.0107435897437,1188
4000,200000,200000,100%,2495,2353,33,1337.69071,1181
4100,205000,205000,100%,2413,2165,28,1254.6793463414633,1224
4200,210000,210000,100%,2455,2231,38,1284.4271761904763,1218
4300,215000,215000,100%,2805,2713,57,1505.608376744186,1199
4400,220000,220000,100%,2776,2583,49,1451.7965045454546,1230
4500,225000,225000,100%,2890,2688,55,1507.5509333333334,1243
4600,230000,230000,100%,3052,2941,58,1597.315343478261,1239
4700,235000,235000,100%,2943,2756,58,1531.1254893617022,1250
4800,240000,240000,100%,3063,2881,63,1602.3585625,1253
4900,245000,245000,100%,3119,2923,62,1618.6121510204082,1264
5000,250000,250000,100%,3424,3332,80,1806.532688,1267
5100,255000,255000,100%,3413,3165,80,1783.9252078431373,1277
5200,260000,260000,100%,3589,3330,93,1908.1641923076922,1258
5300,265000,265000,100%,4031,3760,110,2192.212124528302,1281
5400,270000,270000,100%,3526,2774,121,1807.312,1288
5500,275000,275000,100%,3891,3609,114,2058.894247272727,1301
5600,280000,280000,100%,4248,4049,132,2321.942175,1348
5700,285000,285000,100%,4136,3870,133,2206.1078736842105,1283
5800,290000,290000,100%,4172,3884,132,2205.6381931034484,1294
5900,295000,295000,100%,4397,4168,135,2377.551572881356,1286
6000,300000,300000,100%,4230,3893,134,2230.1640333333335,1325
6100,305000,305000,100%,4535,4253,133,2417.1617803278687,1327
6200,310000,310000,100%,4533,4256,136,2398.305087096774,1319
6300,315000,315000,100%,4815,4542,129,2532.79806031746,1339
6400,320000,320000,100%,4639,4342,145,2466.9266375,1410
6500,325000,325000,100%,4745,4426,149,2517.295372307692,1362
6600,330000,330000,100%,5124,4834,154,2749.4038393939395,1344
6700,335000,335000,100%,4923,4571,151,2609.0400447761194,1397
6800,340000,340000,100%,5304,5040,635,2752.022261764706,1121
6900,345000,345000,100%,5155,4787,162,2732.4863362318843,1371
7000,350000,350000,100%,5223,4844,156,2778.9397828571427,1350
7100,355000,355000,100%,5585,5358,166,3023.73123943662,1383
7200,360000,360000,100%,5365,4992,163,2839.9906833333334,1365
7300,365000,365000,100%,5624,5292,170,3003.5197616438354,1434
7400,370000,370000,100%,5610,5250,163,2971.5484,1377
7500,375000,375000,100%,5772,5407,172,3073.544928,1427
7600,380000,380000,100%,5634,5362,833,2993.443260526316,1471
7700,385000,385000,100%,5948,5530,174,3150.7290467532466,1432
7800,390000,390000,100%,5921,5515,48,2999.8279025641027,1671
7900,395000,395000,100%,6083,5648,168,3207.0295620253164,1479
8000,400000,400000,100%,6378,5822,55,3285.63663,1738
8100,405000,405000,100%,6343,5992,174,3369.3900222222223,1039
8200,410000,410000,100%,6364,6027,49,3329.4379512195123,1741
8300,415000,415000,100%,6460,6109,187,3542.2315662650603,1620
8400,420000,420000,100%,6459,6000,54,3351.414992857143,1843
8500,425000,425000,100%,6603,6209,189,3509.1549529411764,1540
8600,430000,430000,100%,6679,6236,63,3480.8748255813953,1724
8700,435000,435000,100%,6756,6329,191,3649.108935632184,1504
8800,440000,440000,100%,7069,6709,56,3659.6874113636363,1704
8900,445000,445000,100%,6799,6302,54,3519.5974764044945,1845
9000,450000,450000,100%,7124,6612,192,3795.191822222222,1572
9100,455000,455000,100%,7319,6758,55,3905.8796945054946,1635
9200,460000,460000,100%,7337,6952,61,3906.715680434783,1646
9300,465000,465000,100%,7282,6748,50,3810.6749505376342,1860
9400,470000,470000,100%,7492,7181,46,4014.9946510638297,1805
9500,475000,475000,100%,7386,6836,58,3894.277269473684,1806
9600,480000,480000,100%,7692,7343,81,4078.8886729166666,1849
9700,485000,485000,100%,7735,6944,182,4022.346507216495,1680
9800,490000,490000,100%,7571,6975,210,3982.004697959184,1721
9900,495000,495000,100%,7929,7434,219,4242.7018727272725,1711
10000,500000,500000,100%,7865,7245,223,4145.002498,1623
